Word,SS,Lw,Ec,Ci,At,Li,EE,ME,Sp,Me,mean,,,
using,0.549982548,0.277841628,0.276582897,0.24804768,0.400620848,0.338937432,0.425883293,0.381215394,0.230580702,0.370851129,0.350054355,,,
year,0.530312777,0.47482428,0.459716827,0.469616532,0.496701509,0.522688687,0.561944544,0.533896625,0.441262215,0.461402357,0.495236635,,,
memory,0.66861254,0.612993062,0.351070851,0.381229192,0.554609358,0.337739527,0.756008625,0.689776719,0.474923223,0.325259626,0.515222272,,,
value,0.62329334,0.510286868,0.489412278,0.471703768,0.407427967,0.477298021,0.677871048,0.599995673,0.437496036,0.40705803,0.510184303,,,
method,0.742776573,0.458089888,0.404967844,0.461422175,0.494389176,0.538896382,0.623013139,0.641545355,0.439039975,0.575484931,0.537962544,,,
application,0.69987303,0.411780626,0.36255151,0.265542567,0.555952609,0.403354228,0.631350756,0.532299697,0.309702396,0.453650266,0.462605768,,,
code,0.600784421,0.426711977,0.33174178,0.351633728,0.582419574,0.330090344,0.687981009,0.605261207,0.325011313,0.369484007,0.461111936,,,
school,0.79212445,0.664960086,0.715491056,0.65903163,0.634768128,0.646669328,0.792062223,0.820873797,0.717127502,0.626274407,0.706938261,,,
model,0.64541626,0.483290076,0.35189411,0.168759391,0.322714269,0.351600707,0.509635806,0.518244565,0.216148302,0.511938691,0.407964218,,,
field,0.77377665,0.572664082,0.382357597,0.320873529,0.513440728,0.499716461,0.592835486,0.687550485,0.53029561,0.66046834,0.553397897,,,
network,0.916020453,0.621184468,0.553069413,0.533451796,0.585725546,0.638901293,0.682388365,0.689437091,0.497287571,0.743356586,0.646082258,,,
called,0.255619556,0.099321134,-0.007600458,0.185396016,0.051314306,0.103669122,0.10994409,0.21908702,0.021559045,0.039273832,0.107758366,,,
object,0.61170876,0.460585952,0.382211268,0.335015506,0.421603441,0.349930495,0.636863232,0.483885169,0.314355969,0.386902958,0.438306275,,,
work,0.48354885,0.371315211,0.422306538,0.322064638,0.332433403,0.280491561,0.410510719,0.390995979,0.358822793,0.312090278,0.368457997,,,
